,TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd01,Rsvd02,Rsvd03,Rsvd04,Rsvd1,Rsvd2,Rsvd3,Rsvd4
47539,2024-04-30,2024-04-30,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,6476.0,6642.85,6466.0,6542.35,6550.9,6451.7,,6540.75,,,9130,59881923.0,1655,F1,1,,,,,,,,,
51825,2024-04-24,2024-04-24,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,6398.7,6398.7,6303.0,6342.95,6341.55,6307.6,,6343.8,,,15160,96205626.0,1978,F1,1,,,,,,,,,
56050,2024-04-18,2024-04-18,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,6644.8,6650.4,6304.4,6367.2,6398.95,6647.2,,6369.45,,,43130,277123690.0,7046,F1,1,,,,,,,,,
60306,2024-06-26,2024-06-26,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,8439.95,8439.95,8228.85,8390.95,8390.95,8400.3,,8390.85,,,8706,72501168.0,2139,F1,1,,,,,,,,,
64650,2024-02-22,2024-02-22,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,5200.5,5456.95,5084.55,5431.5,5431.5,4989.3,,5425.4,,,174644,928610671.0,16618,F1,1,,,,,,,,,
68885,2024-02-26,2024-02-26,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,5371.75,5430.0,5139.2,5297.15,5295.5,5389.6,,5296.2,,,29925,158035276.0,4009,F1,1,,,,,,,,,
73320,2024-04-08,2024-04-08,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,6666.05,6746.85,6628.65,6697.05,6692.7,6665.9,,6699.7,,,5911,39537056.0,1084,F1,1,,,,,,,,,
77655,2024-04-09,2024-04-09,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,6715.0,6721.7,6501.35,6527.55,6527.55,6697.05,,6529.8,,,5614,37245787.0,1506,F1,1,,,,,,,,,
81930,2024-02-27,2024-02-27,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,5252.25,5472.9,5250.0,5452.4,5452.4,5297.15,,5450.6,,,33361,179863371.0,4775,F1,1,,,,,,,,,
86161,2024-02-19,2024-02-19,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,4589.85,4589.85,4449.6,4491.6,4486.35,4521.75,,4488.9,,,3110,13977043.0,697,F1,1,,,,,,,,,
